,heuristic,solution_len,acc,beam_width
611,mult_heuristic,233,True,1
612,mult_heuristic,3511,False,3
613,sum_heuristic,1760,True,5
614,mult_heuristic,2350,True,5
615,mult_heuristic,1808,True,5
616,mult_heuristic,1848,True,5
617,mult_heuristic,496,True,2
618,mult_heuristic,9793,False,5
619,sum_heuristic,1821,True,5
620,sum_heuristic,1837,True,5
621,mult_heuristic,1820,True,5
622,mult_heuristic,1276,False,2
623,sum_heuristic,1325,True,4
624,sum_heuristic,293,False,1
625,sum_heuristic,851,True,3
626,sum_heuristic,9681,False,5
627,sum_heuristic,2506,True,4
628,sum_heuristic,9836,False,5
629,sum_heuristic,1844,True,5
630,sum_heuristic,2904,True,3
631,mult_heuristic,1037,True,2
632,mult_heuristic,9869,False,5
633,sum_heuristic,3645,False,3
634,sum_heuristic,297,False,1
635,mult_heuristic,233,True,1
636,mult_heuristic,298,False,1
637,mult_heuristic,478,True,2
638,mult_heuristic,291,False,1
639,mult_heuristic,9776,False,5
640,mult_heuristic,298,False,1
641,mult_heuristic,786,True,3
642,sum_heuristic,9768,False,5
643,sum_heuristic,6038,False,4
644,mult_heuristic,3254,True,5
645,sum_heuristic,9194,False,5
646,mult_heuristic,285,False,1
647,sum_heuristic,1187,False,2
648,sum_heuristic,3573,True,5
649,sum_heuristic,280,False,1
650,sum_heuristic,3425,False,3
651,sum_heuristic,1810,True,3
652,sum_heuristic,293,False,1
653,sum_heuristic,311,False,1
654,sum_heuristic,3361,False,3
655,sum_heuristic,491,True,2
656,mult_heuristic,3271,False,3
657,mult_heuristic,1279,False,2
658,mult_heuristic,3595,False,3
659,sum_heuristic,1298,False,2
660,sum_heuristic,1886,True,5
661,mult_heuristic,744,True,2
662,mult_heuristic,1895,True,5
663,sum_heuristic,479,True,2
664,sum_heuristic,2200,True,4
665,mult_heuristic,285,False,1
666,sum_heuristic,1828,True,5
667,mult_heuristic,481,True,2
668,mult_heuristic,1719,True,3
669,sum_heuristic,4424,True,4
670,mult_heuristic,301,False,1
671,sum_heuristic,1857,True,5
672,sum_heuristic,843,True,3
673,sum_heuristic,556,True,2
674,sum_heuristic,1781,True,5
675,sum_heuristic,306,False,1
676,mult_heuristic,1894,True,5
677,mult_heuristic,1078,True,3
678,sum_heuristic,297,False,1
679,mult_heuristic,3417,False,3
680,sum_heuristic,233,True,1
681,sum_heuristic,833,True,3
682,mult_heuristic,1298,False,2
683,sum_heuristic,1845,True,5
684,sum_heuristic,589,True,2
685,sum_heuristic,6174,False,4
686,mult_heuristic,4226,True,5
687,mult_heuristic,2107,True,5
688,sum_heuristic,1235,False,2
689,mult_heuristic,305,False,1
690,mult_heuristic,1836,True,5
691,mult_heuristic,5123,True,5
692,sum_heuristic,9448,False,5
693,mult_heuristic,2838,True,5
694,sum_heuristic,3672,True,5
695,mult_heuristic,3544,False,3
696,mult_heuristic,1181,False,2
697,mult_heuristic,1253,True,4
698,sum_heuristic,605,True,2
699,mult_heuristic,473,True,2
700,sum_heuristic,283,False,1
701,mult_heuristic,1237,False,2
702,sum_heuristic,6226,False,4
703,sum_heuristic,1510,True,4
704,mult_heuristic,1734,True,3
705,mult_heuristic,1813,True,5
706,mult_heuristic,220,True,1
707,sum_heuristic,1701,True,4
708,sum_heuristic,3975,True,5
709,mult_heuristic,6238,False,4
710,mult_heuristic,9734,False,5
711,sum_heuristic,1819,True,5
712,mult_heuristic,1261,True,4
713,sum_heuristic,298,False,1
714,sum_heuristic,4115,True,5
715,mult_heuristic,1204,False,2
716,mult_heuristic,2761,True,5
717,mult_heuristic,4628,True,5
718,sum_heuristic,9530,False,5
719,sum_heuristic,1264,False,2
720,mult_heuristic,297,False,1
721,sum_heuristic,5830,False,4
722,mult_heuristic,1296,False,2
723,sum_heuristic,1245,False,2
724,mult_heuristic,491,True,2
725,sum_heuristic,3328,False,3
726,mult_heuristic,3120,True,4
727,mult_heuristic,6099,False,4
728,sum_heuristic,233,True,1
729,mult_heuristic,1062,True,3
730,mult_heuristic,2945,True,5
731,mult_heuristic,1307,True,4
732,sum_heuristic,298,False,1
733,mult_heuristic,293,False,1
734,sum_heuristic,3598,False,3
735,mult_heuristic,1278,False,2
736,mult_heuristic,1833,True,5
737,sum_heuristic,1281,True,4
738,sum_heuristic,309,False,1
739,mult_heuristic,9644,False,5
740,sum_heuristic,3283,False,3
741,mult_heuristic,306,False,1
742,mult_heuristic,1274,False,2
743,mult_heuristic,1162,True,3
744,sum_heuristic,3555,False,3
745,sum_heuristic,3580,False,3
746,sum_heuristic,3234,True,5
747,sum_heuristic,296,False,1
748,sum_heuristic,1405,True,3
749,sum_heuristic,301,False,1
750,sum_heuristic,2573,True,4
751,sum_heuristic,1484,True,3
752,mult_heuristic,3600,False,3
753,sum_heuristic,451,True,2
754,sum_heuristic,300,False,1
755,mult_heuristic,237,True,1
756,sum_heuristic,6638,False,4
757,sum_heuristic,1034,True,2
758,sum_heuristic,6432,False,4
759,mult_heuristic,2003,True,5
760,mult_heuristic,461,True,2
761,mult_heuristic,6768,False,4
762,sum_heuristic,2085,True,3
763,mult_heuristic,479,True,2
764,mult_heuristic,5916,False,4
765,sum_heuristic,470,True,2
766,sum_heuristic,9921,False,5
767,sum_heuristic,298,False,1
768,mult_heuristic,3758,False,3
769,sum_heuristic,1340,True,4
770,sum_heuristic,858,True,3
771,mult_heuristic,1885,True,5
772,mult_heuristic,9323,False,5
773,sum_heuristic,1517,True,4
774,sum_heuristic,1259,True,4
775,mult_heuristic,1813,True,5
776,mult_heuristic,471,True,2
777,mult_heuristic,9562,False,5
778,mult_heuristic,1742,True,5
779,mult_heuristic,1238,False,2
780,mult_heuristic,1870,True,3
781,mult_heuristic,9462,False,5
782,sum_heuristic,1306,False,2
783,sum_heuristic,2516,True,3
784,sum_heuristic,1387,True,4
785,sum_heuristic,297,False,1
786,sum_heuristic,9606,False,5
787,sum_heuristic,691,True,2
788,mult_heuristic,1280,True,4
789,sum_heuristic,912,True,3
790,mult_heuristic,233,True,1
791,mult_heuristic,475,True,2
792,sum_heuristic,306,False,1
793,mult_heuristic,4067,True,4
794,mult_heuristic,843,True,3
795,mult_heuristic,1579,True,3
796,mult_heuristic,3439,False,3
797,sum_heuristic,6334,False,4
798,sum_heuristic,2331,True,3
799,sum_heuristic,1260,False,2
800,mult_heuristic,1833,True,5
801,sum_heuristic,2432,True,5
802,mult_heuristic,842,True,3
803,mult_heuristic,6357,False,4
804,sum_heuristic,2269,True,5
805,mult_heuristic,6223,False,4
806,mult_heuristic,306,False,1
807,sum_heuristic,2097,True,5
808,mult_heuristic,877,True,3
809,sum_heuristic,1241,True,4
810,sum_heuristic,479,True,2
811,sum_heuristic,1809,True,5
812,mult_heuristic,9342,False,5
813,sum_heuristic,6169,False,4
814,mult_heuristic,1242,False,2
815,mult_heuristic,285,False,1
816,mult_heuristic,1259,True,4
817,sum_heuristic,5902,False,4
818,mult_heuristic,849,True,2
819,mult_heuristic,1922,True,5
820,sum_heuristic,858,True,3
821,mult_heuristic,2026,True,5
822,sum_heuristic,237,True,1
823,mult_heuristic,220,True,1
824,sum_heuristic,1228,False,2
825,sum_heuristic,6283,False,4
826,mult_heuristic,300,False,1
827,mult_heuristic,9704,False,5
828,sum_heuristic,878,True,3
829,sum_heuristic,1084,True,3
830,sum_heuristic,1264,True,4
831,mult_heuristic,1313,False,2
832,sum_heuristic,2652,True,4
